"time"	"wind"	"name"	"country"	"birth"	"race"	"location"	"date"	"age"
"171"	9.88	"+1.5"	"Ryan Bailey"	"USA"	1989-04-13	"4"	"London"	2012-08-05	23.3127994524298
"172"	9.88	"+1.5"	"Tyson Gay"	"USA"	1982-08-09	"1"	"Eugene"	2015-05-30	32.8049281314168
"173"	9.88	"+1.4"	"Mike Rodgers"	"USA"	1985-04-24	"1"	"Madrid"	2015-07-11	30.2121834360027
"174"	9.88	"+1.0"	"Usain Bolt"	"JAM"	1986-08-21	"1rA"	"Kingston"	2016-06-11	29.8069815195072
"175"	9.88	"+1.9"	"Jimmy Vicaut"	"FRA"	1992-02-27	"1"	"Angers"	2016-06-25	24.3258042436687
"176"	9.89	"+0.7"	"Frank Fredericks"	"NAM"	1967-10-02	"2"	"Atlanta"	1996-07-27	28.8186173853525
"177"	9.89	"+0.8"	"Ato Boldon"	"TTO"	1973-12-30	"1"	"Modesto"	1997-05-10	23.3593429158111
"178"	9.89	"+1.5"	"Bruny Surin"	"CAN"	1967-07-12	"1"	"Montréal"	1998-08-01	31.0554414784394
"179"	9.89	"+0.9"	"Maurice Greene"	"USA"	1974-07-23	"1rA"	"Roma"	2002-07-12	27.9698836413415
"180"	9.89	"±0.0"	"Shawn Crawford"	"USA"	1978-01-14	"1q2"	"Athínai"	2004-08-21	26.6009582477755
"181"	9.89	"+0.6"	"Shawn Crawford"	"USA"	1978-01-14	"4"	"Athínai"	2004-08-22	26.6036960985626
"182"	9.89	"+1.0"	"Justin Gatlin"	"USA"	1982-02-10	"1"	"London"	2005-07-22	23.4442162902122
"183"	9.89	"+0.9"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Stuttgart"	2006-09-09	23.7946611909651
"184"	9.89	"+1.6"	"Travis Padgett"	"USA"	1986-12-13	"1q2"	"Eugene"	2008-06-28	21.5414099931554
"185"	9.89	"+1.6"	"Darvis Patton"	"USA"	1977-12-04	"1q3"	"Eugene"	2008-06-28	30.5653661875428
"186"	9.89	"+0.4"	"Usain Bolt"	"JAM"	1986-08-21	"2rA"	"Stockholm"	2008-07-22	21.9192334017796
"187"	9.89	"±0.0"	"Richard Thompson"	"TTO"	1985-06-07	"2"	"Beijing"	2008-08-16	23.192334017796
"188"	9.89	"+1.1"	"Asafa Powell"	"JAM"	1982-11-23	"1rA"	"Szczecin"	2008-09-17	25.8179329226557
"189"	9.89	"+0.2"	"Usain Bolt"	"JAM"	1986-08-21	"1s1"	"Berlin"	2009-08-16	22.9869952087611
"190"	9.89	"+2.0"	"Darvis Patton"	"USA"	1977-12-04	"3"	"Shanghai"	2009-09-20	31.7946611909651
"191"	9.89	"-0.4"	"Yohan Blake"	"JAM"	1989-12-26	"2"	"London"	2010-08-13	20.6297056810404
"192"	9.89	"+2.0"	"Steve Mullings"	"JAM"	1982-11-29	"1"	"Clermont"	2011-05-21	28.4736481861739
"193"	9.89	"+1.3"	"Ngonidzashe Makusha"	"ZIM"	1987-03-11	"1"	"Des Moines"	2011-06-10	24.249144421629
"194"	9.89	"+1.3"	"Nesta Carter"	"JAM"	1985-11-10	"2"	"Bruxelles"	2011-09-16	25.8480492813142
"195"	9.89	"+0.9"	"Keston Bledman"	"TTO"	1988-03-08	"1h2"	"Orlando"	2012-05-26	24.2162902121834
"196"	9.89	"+1.1"	"Justin Gatlin"	"USA"	1982-02-10	"1"	"Des Moines"	2013-06-21	31.3593429158111
"197"	9.89	"+1.9"	"Akani Simbine"	"RSA"	1993-09-21	"1"	"Székesfehérvár"	2016-07-18	22.8227241615332
"198"	9.89	"+0.2"	"Justin Gatlin"	"USA"	1982-02-10	"2"	"Rio de Janeiro"	2016-08-14	34.507871321013
"199"	9.9	"+1.9"	"Leroy Burrell"	"USA"	1967-02-21	"1"	"New York City"	1991-06-14	24.3093771389459
"200"	9.9	"+0.7"	"Ato Boldon"	"TTO"	1973-12-30	"3"	"Atlanta"	1996-07-27	22.5735797399042
"201"	9.9	"+0.2"	"Maurice Greene"	"USA"	1974-07-23	"1"	"Indianapolis"	1997-06-13	22.8911704312115
"202"	9.9	"+1.0"	"Maurice Greene"	"USA"	1974-07-23	"1rA"	"Lausanne"	1997-07-02	22.943189596167
"203"	9.9	"±0.0"	"Ato Boldon"	"TTO"	1973-12-30	"1"	"Stuttgart"	1997-07-13	23.5345653661875
"204"	9.9	"+1.3"	"Maurice Greene"	"USA"	1974-07-23	"2q1"	"Athínai"	1997-08-02	23.0280629705681
"205"	9.9	"+0.5"	"Maurice Greene"	"USA"	1974-07-23	"1s2"	"Athínai"	1997-08-03	23.0308008213552
"206"	9.9	"+0.2"	"Frank Fredericks"	"NAM"	1967-10-02	"1"	"Bruxelles"	1997-08-22	29.8891170431211
"207"	9.9	"+0.3"	"Maurice Greene"	"USA"	1974-07-23	"1"	"Stockholm"	1998-08-05	24.0355920602327
"208"	9.9	"+0.3"	"Maurice Greene"	"USA"	1974-07-23	"1h4"	"Eugene"	2001-06-21	26.9130732375086
"209"	9.9	"+1.1"	"Maurice Greene"	"USA"	1974-07-23	"1rA"	"Lausanne"	2001-07-04	26.9486652977413
"210"	9.9	"+0.5"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Roma"	2007-07-13	24.6351813826146
"211"	9.9	"+1.0"	"Asafa Powell"	"JAM"	1982-11-23	"1h2"	"Kingston"	2008-06-27	25.5934291581109
"212"	9.9	"-0.4"	"Asafa Powell"	"JAM"	1982-11-23	"1"	"Bruxelles"	2009-09-04	26.7816563997262
"213"	9.9	"-0.2"	"Asafa Powell"	"JAM"	1982-11-23	"2"	"Thessaloníki"	2009-09-12	26.8035592060233
